Model,Parameters,PreTraining_Steps,FineTuning_Steps,Min_Eval_Loss,Epochs
pythia,410000000,4000,8,3.1500589847564697,21.0
pythia,1000000000,4000,512,2.0431478023529053,8.0
pythia,160000000,4000,64,2.772186279296875,30.0
pythia,410000000,4000,128,2.4919345378875732,13.0
pythia,160000000,4000,16,3.1434054374694824,37.0
pythia,70000000,4000,32,3.1977593898773193,76.0
pythia,70000000,4000,64,2.9525468349456787,74.0
pythia,160000000,4000,4,3.4246904850006104,50.0
pythia,410000000,4000,32,2.865553617477417,15.0
pythia,1400000000,4000,32,2.674818277359009,10.0
pythia,70000000,4000,4,3.690943479537964,95.0
pythia,1400000000,4000,64,2.502049446105957,9.0
pythia,160000000,4000,2,3.52215576171875,60.0
pythia,1400000000,4000,256,2.16105055809021,8.0
pythia,410000000,64000,8,2.7813446521759033,18.0
pythia,70000000,64000,4,3.491255521774292,65.0
pythia,70000000,64000,128,2.6508262157440186,33.0
pythia,1400000000,64000,32,2.4219329357147217,9.0
pythia,160000000,64000,128,2.4248781204223633,17.0
pythia,1400000000,64000,128,2.076742172241211,7.0
pythia,70000000,64000,512,2.3013815879821777,26.0
pythia,160000000,64000,32,2.776766061782837,21.0
pythia,160000000,64000,512,2.0999133586883545,14.0
pythia,410000000,64000,128,2.212388277053833,10.0
pythia,160000000,64000,2,3.1885924339294434,52.0
pythia,410000000,64000,2,2.9442081451416016,31.0
pythia,1000000000,64000,128,2.1381242275238037,8.0
pythia,70000000,64000,64,2.857652425765991,37.0
pythia,70000000,64000,256,2.46341872215271,30.0
pythia,410000000,64000,4,2.86708664894104,24.0
pythia,70000000,64000,16,3.234790802001953,44.0
pythia,160000000,64000,4,3.108724594116211,40.0
pythia,160000000,64000,64,2.6079483032226562,19.0
pythia,1400000000,64000,64,2.2545714378356934,8.0
pythia,160000000,64000,256,2.2580513954162598,15.0
pythia,1400000000,64000,2,2.7697198390960693,22.0
pythia,1000000000,64000,4,2.7812609672546387,19.0
pythia,1400000000,64000,256,1.924930453300476,7.0
pythia,1000000000,64000,32,2.4821536540985107,9.0
pythia,1400000000,64000,512,1.8002973794937134,6.0
pythia,410000000,64000,256,2.0610055923461914,9.0
pythia,410000000,64000,512,1.9230118989944458,8.0
pythia,1400000000,64000,4,2.7032630443573,16.0
pythia,70000000,64000,2,3.5809550285339355,83.0
pythia,1000000000,64000,16,2.5879323482513428,11.0
pythia,160000000,64000,8,3.016576051712036,30.0
pythia,410000000,64000,64,2.3886611461639404,11.0
pythia,410000000,64000,16,2.673063278198242,15.0
pythia,1400000000,64000,8,2.629859209060669,12.0
pythia,1000000000,64000,256,1.9932653903961182,7.0
pythia,70000000,64000,8,3.368428945541382,52.0
pythia,1000000000,64000,512,1.8530669212341309,7.0
pythia,1000000000,64000,8,2.6970455646514893,14.0
pythia,410000000,64000,32,2.550471544265747,12.0
pythia,1000000000,64000,2,2.8431143760681152,28.0
pythia,1000000000,64000,64,2.317335605621338,9.0
pythia,70000000,64000,32,3.071676731109619,40.0
pythia,1400000000,64000,16,2.5338950157165527,9.0
pythia,160000000,64000,16,2.905756711959839,24.0
pythia,410000000,16000,512,2.0100512504577637,10.0
pythia,1400000000,16000,512,1.897365689277649,7.0
pythia,1000000000,16000,64,2.4170820713043213,11.0
pythia,70000000,16000,32,3.142756938934326,56.0
pythia,1000000000,16000,16,2.7017362117767334,12.0
pythia,70000000,16000,2,3.6380860805511475,105.0
pythia,1400000000,16000,8,2.733844518661499,14.0
pythia,1000000000,16000,256,2.0899081230163574,8.0
pythia,1400000000,16000,16,2.6321616172790527,11.0
pythia,70000000,16000,64,2.9147279262542725,55.0
pythia,1400000000,16000,128,2.1825594902038574,8.0
pythia,410000000,16000,32,2.664555311203003,14.0
pythia,410000000,16000,64,2.4963817596435547,13.0
pythia,70000000,16000,512,2.3238096237182617,38.0
pythia,160000000,16000,4,3.19569730758667,48.0
pythia,70000000,16000,16,3.312680244445801,59.0
pythia,1000000000,16000,512,1.9513044357299805,7.0
pythia,410000000,16000,4,2.992746591567993,27.0
pythia,1000000000,16000,32,2.591182231903076,10.0
pythia,1400000000,16000,2,2.888190984725952,25.0
pythia,160000000,16000,512,2.1556310653686523,17.0
pythia,1000000000,16000,2,2.959151029586792,29.0
pythia,160000000,16000,16,2.9861679077148438,30.0
pythia,70000000,16000,8,3.448086738586426,66.0
pythia,1000000000,16000,4,2.883298635482788,21.0
pythia,70000000,16000,256,2.494126081466675,44.0
pythia,160000000,16000,256,2.319369077682495,19.0
pythia,70000000,16000,128,2.6897635459899902,50.0
pythia,160000000,16000,8,3.1002180576324463,37.0
pythia,1000000000,16000,128,2.243194341659546,9.0
pythia,160000000,16000,32,2.855032205581665,25.0
pythia,410000000,16000,8,2.9019200801849365,21.0
pythia,160000000,16000,64,2.6800827980041504,23.0
pythia,160000000,16000,128,2.49509596824646,20.0
pythia,1400000000,16000,4,2.8194961547851562,19.0
pythia,410000000,16000,128,2.324897527694702,11.0
pythia,160000000,16000,2,3.2749836444854736,63.0
pythia,1400000000,16000,64,2.353394031524658,9.0
pythia,1400000000,16000,256,2.0307071208953857,7.0
pythia,410000000,16000,16,2.7877609729766846,17.0
pythia,1000000000,16000,8,2.798487424850464,16.0
pythia,70000000,16000,4,3.5589590072631836,82.0
pythia,1400000000,16000,32,2.522592544555664,10.0
pythia,410000000,16000,256,2.1594626903533936,10.0
pythia,410000000,16000,2,3.07271409034729,36.0
pythia,410000000,64000,8,2.7813446521759033,18.0
pythia,70000000,64000,4,3.491250514984131,65.0
pythia,70000000,64000,128,2.6507997512817383,33.0
pythia,160000000,64000,128,2.424877166748047,17.0
pythia,70000000,64000,512,2.301358222961426,26.0
pythia,160000000,64000,32,2.776763439178467,21.0
pythia,160000000,64000,512,2.0999133586883545,14.0
pythia,410000000,64000,128,2.212388277053833,10.0
pythia,160000000,64000,2,3.1885921955108643,52.0
pythia,410000000,64000,2,2.9442081451416016,31.0
pythia,70000000,64000,64,2.857621431350708,37.0
pythia,70000000,64000,256,2.4633922576904297,30.0
pythia,410000000,64000,4,2.86708664894104,24.0
pythia,70000000,64000,16,3.234771728515625,44.0
pythia,160000000,64000,4,3.108724594116211,40.0
pythia,160000000,64000,64,2.6079490184783936,19.0
pythia,160000000,64000,256,2.2580511569976807,15.0
pythia,410000000,64000,256,2.0610055923461914,9.0
pythia,410000000,64000,512,1.9230118989944458,8.0
pythia,70000000,64000,2,3.580953598022461,83.0
pythia,160000000,64000,8,3.016576051712036,30.0
pythia,410000000,64000,64,2.3886609077453613,11.0
pythia,410000000,64000,16,2.673062801361084,15.0
pythia,70000000,64000,8,3.368420124053955,52.0
pythia,410000000,64000,32,2.550471305847168,12.0
pythia,70000000,64000,32,3.071650505065918,40.0
pythia,160000000,64000,16,2.9057564735412598,24.0
pythia,70000000,1000,2,4.488095760345459,104.0
pythia,70000000,1000,4,4.36850118637085,95.0
pythia,70000000,1000,8,4.214684963226318,87.0
pythia,70000000,1000,16,4.013079643249512,91.0
pythia,70000000,1000,32,3.7614521980285645,98.0
pythia,70000000,1000,64,3.455634832382202,97.0
pythia,70000000,1000,128,3.146955728530884,90.0
pythia,70000000,1000,256,2.887016534805298,71.0
pythia,70000000,1000,512,2.6678078174591064,65.0
pythia,160000000,1000,2,4.345342636108398,49.0
pythia,160000000,1000,4,4.249509334564209,40.0
pythia,160000000,1000,8,4.109774589538574,35.0
pythia,160000000,1000,16,3.9258570671081543,35.0
pythia,160000000,1000,32,3.7090201377868652,34.0
pythia,160000000,1000,64,3.441575527191162,32.0
pythia,160000000,1000,128,3.158844232559204,31.0
pythia,160000000,1000,256,2.885641098022461,29.0
pythia,160000000,1000,512,2.6454272270202637,26.0
pythia,410000000,1000,2,4.431612014770508,24.0
pythia,410000000,1000,4,4.3390679359436035,19.0
pythia,410000000,1000,8,4.204087257385254,17.0
pythia,410000000,1000,16,4.026336193084717,17.0
pythia,410000000,1000,32,3.827332019805908,15.0
pythia,410000000,1000,64,3.5723421573638916,15.0
pythia,410000000,1000,128,3.30190372467041,14.0
pythia,410000000,1000,256,3.0283830165863037,13.0
pythia,410000000,1000,512,2.763336420059204,12.0
pythia,1000000000,1000,2,4.086920261383057,19.0
pythia,1000000000,1000,4,3.9842278957366943,17.0
pythia,1000000000,1000,8,3.8422091007232666,14.0
pythia,1000000000,1000,16,3.648341417312622,13.0
pythia,1000000000,1000,32,3.4506022930145264,12.0
pythia,1000000000,1000,64,3.197253465652466,11.0
pythia,1000000000,1000,128,2.944122076034546,10.0
pythia,1000000000,1000,256,2.7029876708984375,10.0
pythia,1000000000,1000,512,2.4785079956054688,9.0
pythia,1400000000,1000,2,4.1464362144470215,16.0
pythia,1400000000,1000,4,4.0518012046813965,13.0
pythia,1400000000,1000,8,3.912749767303467,11.0
pythia,1400000000,1000,16,3.725877046585083,10.0
pythia,1400000000,1000,32,3.527000665664673,10.0
pythia,1400000000,1000,64,3.270958423614502,9.0
pythia,1400000000,1000,128,3.004769802093506,9.0
pythia,1400000000,1000,256,2.7548930644989014,8.0
pythia,1400000000,1000,512,2.5219178199768066,8.0
pythia,70000000,512,2,5.499380588531494,109.0
pythia,70000000,512,4,5.380550861358643,100.0
pythia,70000000,512,8,5.150784969329834,116.0
pythia,70000000,512,16,4.850172519683838,142.0
pythia,70000000,512,32,4.487990379333496,145.0
pythia,70000000,512,64,4.065962791442871,140.0
pythia,70000000,512,128,3.687044858932495,110.0
pythia,70000000,512,256,3.3708488941192627,96.0
pythia,70000000,512,512,3.099102735519409,88.0
pythia,160000000,512,2,5.464213848114014,43.0
pythia,160000000,512,4,5.363382339477539,34.0
pythia,160000000,512,8,5.146985054016113,35.0
pythia,160000000,512,16,4.900548458099365,38.0
pythia,160000000,512,32,4.600070476531982,38.0
pythia,160000000,512,64,4.226075649261475,41.0
pythia,160000000,512,128,3.855632781982422,41.0
pythia,160000000,512,256,3.487955093383789,36.0
pythia,160000000,512,512,3.1677587032318115,31.0
pythia,410000000,512,2,5.73322057723999,22.0
pythia,410000000,512,4,5.610868453979492,19.0
pythia,410000000,512,8,5.40653133392334,18.0
pythia,410000000,512,16,5.164900302886963,19.0
pythia,410000000,512,32,4.880922794342041,18.0
pythia,410000000,512,64,4.507999420166016,20.0
pythia,410000000,512,128,4.138337135314941,18.0
pythia,410000000,512,256,3.750662326812744,17.0
pythia,410000000,512,512,4.140511989593506,3.0
pythia,70000000,2000,2,4.031949043273926,128.0
pythia,70000000,2000,4,3.9133541584014893,111.0
pythia,70000000,2000,8,3.762817144393921,102.0
pythia,70000000,2000,16,3.5684573650360107,99.0
pythia,70000000,2000,32,3.3516976833343506,91.0
pythia,70000000,2000,64,3.0815465450286865,88.0
pythia,70000000,2000,128,2.8291990756988525,78.0
pythia,70000000,2000,256,2.6174962520599365,65.0
pythia,70000000,2000,512,2.436600923538208,56.0
pythia,160000000,2000,2,3.7655630111694336,60.0
pythia,160000000,2000,4,3.666425943374634,49.0
pythia,160000000,2000,8,3.541149377822876,40.0
pythia,160000000,2000,16,3.372535228729248,38.0
pythia,160000000,2000,32,3.189636707305908,35.0
pythia,160000000,2000,64,2.957709312438965,32.0
pythia,160000000,2000,128,2.7345006465911865,29.0
pythia,160000000,2000,256,2.52670955657959,26.0
pythia,160000000,2000,512,2.34175968170166,23.0
pythia,410000000,2000,2,3.7173011302948,33.0
pythia,410000000,2000,4,3.618915319442749,26.0
pythia,410000000,2000,8,3.4883599281311035,21.0
pythia,410000000,2000,16,3.3328161239624023,19.0
pythia,410000000,2000,32,3.1609578132629395,17.0
pythia,410000000,2000,64,2.9456348419189453,15.0
pythia,410000000,2000,128,2.7342875003814697,14.0
pythia,410000000,2000,256,2.5275051593780518,13.0
pythia,410000000,2000,512,2.3345484733581543,12.0
pythia,1000000000,2000,2,3.506117105484009,26.0
pythia,1000000000,2000,4,3.409860849380493,21.0
pythia,1000000000,2000,8,3.276124954223633,17.0
pythia,1000000000,2000,16,3.122610330581665,15.0
pythia,1000000000,2000,32,2.9583487510681152,13.0
pythia,1000000000,2000,64,2.7445268630981445,12.0
pythia,1000000000,2000,128,2.542933940887451,11.0
pythia,1000000000,2000,256,2.3564882278442383,10.0
pythia,1000000000,2000,512,2.182750701904297,9.0
pythia,1400000000,2000,2,3.4848599433898926,21.0
pythia,1400000000,2000,4,3.39029860496521,17.0
pythia,1400000000,2000,8,3.2620134353637695,13.0
pythia,1400000000,2000,16,3.1085093021392822,12.0
pythia,1400000000,2000,32,2.953670024871826,11.0
pythia,1400000000,2000,64,2.741702079772949,10.0
pythia,1400000000,2000,128,2.544454336166382,9.0
pythia,1400000000,2000,256,2.360403299331665,8.0
pythia,1400000000,2000,512,2.1871111392974854,7.0
pythia,1400000000,64,512,4.588673114776611,16.0
pythia,1400000000,64,128,5.361230373382568,17.0
pythia,1400000000,64,64,6.03174352645874,13.0
pythia,1400000000,64,32,6.591535568237305,11.0
pythia,1400000000,64,16,7.118302822113037,10.0
pythia,1400000000,64,8,7.560942649841309,12.0
pythia,1400000000,64,4,7.932364463806152,13.0
pythia,1400000000,64,2,8.190971374511719,15.0
pythia,1400000000,128,512,4.4347453117370605,12.0
pythia,1400000000,128,128,4.989998817443848,14.0
pythia,1400000000,128,64,5.520132064819336,15.0
pythia,1400000000,128,32,6.005517959594727,13.0
pythia,1400000000,128,16,6.4292192459106445,10.0
pythia,1400000000,128,8,6.76071834564209,14.0
pythia,1400000000,128,4,7.073066234588623,13.0
pythia,1400000000,128,2,7.326866149902344,15.0
pythia,1400000000,256,512,4.033461570739746,13.0
pythia,1400000000,256,128,4.495501518249512,13.0
pythia,1400000000,256,64,4.912811279296875,12.0
pythia,1400000000,256,32,5.325645923614502,11.0
pythia,1400000000,256,16,5.730087757110596,11.0
pythia,1400000000,256,8,6.052600860595703,10.0
pythia,1400000000,256,4,6.3118720054626465,13.0
pythia,1400000000,256,2,6.513660907745361,15.0
pythia,1400000000,512,512,3.448866844177246,11.0
pythia,1400000000,512,128,3.814323902130127,11.0
pythia,1400000000,512,64,4.144789695739746,12.0
pythia,1400000000,512,32,4.473943710327148,12.0
pythia,1400000000,512,16,4.808717250823975,12.0
pythia,1400000000,512,8,5.103753566741943,12.0
pythia,1400000000,512,4,5.343931674957275,14.0
pythia,1400000000,512,2,5.570338249206543,15.0
